Call Time & Date,Call Length (seconds),Transcript of Complaints,Neighborhood,Caller Phone Number
04/19/2023 08:45 AM,45,"I can hear loud music from the night club, even in the morning!",Downtown,(555) 210-3118
04/19/2023 08:50 AM,110,"Someone's dumped their old furniture in the alley. There's a couch blocking the path.",Oakwood,(555) 211-3129
04/19/2023 08:55 AM,80,"Potholes are making Cedar Lane impassable. It's damaging cars.",Westwood,(555) 212-3130
04/19/2023 09:00 AM,130,"Graffiti on the bridge is full of offensive language. Can someone clean it?",Lakeside,(555) 213-3141
04/19/2023 09:05 AM,70,"The noise from the early trash pickup is waking up the whole block.",Downtown,(555) 214-3152
04/19/2023 09:10 AM,120,"There's a massive pothole on Grove Street, right at the intersection.",Westwood,(555) 215-3163
04/19/2023 09:15 AM,90,"They've vandalized the bus shelter on 3rd, glass is shattered everywhere.",Pinecrest,(555) 216-3174
04/19/2023 09:20 AM,65,"Graffiti has been sprayed all over the new art installation downtown.",Maple Grove,(555) 217-3185
04/19/2023 09:25 AM,50,"Can you address the potholes near the library? They're a hazard.",Westwood,(555) 218-3196
04/19/2023 09:30 AM,75,"The noise from the high school band practice is extremely loud today.",Oakwood,(555) 219-3207
04/19/2023 09:35 AM,110,"Potholes on Pine Street are so deep, you could lose a wheel in there.",Westwood,(555) 220-3218
04/19/2023 09:40 AM,60,"More graffiti showed up overnight on the walls of the underpass.",Lakeside,(555) 221-3229
04/19/2023 09:45 AM,85,"Every morning, the noise from the market setup is just too much.",Downtown,(555) 222-3230
04/19/2023 09:50 AM,95,"Someone's tagged the entire row of shops on High Street.",Maple Grove,(555) 223-3241
04/19/2023 09:55 AM,40,"Pothole alert on Birch: It's like
 a sinkhole now.",Westwood,(555) 224-3252
04/19/2023 10:00 AM,100,"The new graffiti on the community center is a disgrace.",Sunnyside,(555) 225-3263
04/19/2023 10:05 AM,50,"The noise from the dog park is non-stop. Can something be done?",Oakwood,(555) 226-3274
04/19/2023 10:10 AM,110,"We need repairs on Willow Road. The street's falling apart.",Westwood,(555) 227-3285
04/19/2023 10:15 AM,70,"This new graffiti is an eyesore on the community murals.",Lakeside,(555) 228-3296
04/19/2023 10:20 AM,55,"I'm reporting a pothole at the corner of 6th and Oak. It's a tire-buster.",Westwood,(555) 229-3307
04/19/2023 10:25 AM,105,"There’s a constant noise from the factory, even outside normal hours.",Downtown,(555) 230-3318
04/19/2023 10:30 AM,85,"Graffiti on the elementary school is setting a bad example for kids.",Maple Grove,(555) 231-3329
04/19/2023 10:35 AM,60,"The potholes on Maple Drive are getting worse every day.",Westwood,(555) 232-3330
04/19/2023 10:40 AM,90,"Vandalism in the public restrooms at the park is becoming a serious issue.",Eastview,(555) 233-3341
04/19/2023 10:45 AM,120,"Potholes on 7th have caused numerous flat tires this week.",Westwood,(555) 234-3352
04/19/2023 10:50 AM,65,"The graffiti on the statues in Central Park is disrespectful.",Sunnyside,(555) 235-3363
04/19/2023 10:55 AM,80,"Loud music from cars at the beach parking lot is unbearable.",Lakeside,(555) 236-3374
04/19/2023 11:00 AM,50,"Can we get the streetlights fixed? Vandalism has left the block dark.",Oakwood,(555) 237-3385
04/19/2023 11:05 AM,95,"Pothole on Orchard Road is so large it's become a traffic hazard.",Westwood,(555) 238-3396
04/19/2023 11:10 AM,110,"New graffiti tags appeared on the bridge by the riverwalk.",Lakeside,(555) 239-3407
04/19/2023 11:15 AM,45,"The noise from the bar on Elm is well above what's legal.",Downtown,(555) 240-3418
04/19/2023 11:20 AM,130,"Potholes on West Avenue are a danger to cyclists and pedestrians alike.",Westwood,(555) 241-3429
04/19/2023 11:25 AM,70,"Someone defaced the war monument with spray paint.",Maple Grove,(555) 242-3430
04/19/2023 11:30 AM,85,"The noise from the weekend market setup is disrupting the neighborhood peace.",Downtown,(555) 243-3441
04/19/2023 11:35 AM,100,"A pothole on Cedar Street caused a bike accident this morning.",Westwood,(555) 244-3452
04/19/2023 11:40 AM,55,"Graffiti has ruined the view from the footbridge.",Lakeside,(555) 245-3463
04/19/2023 11:45 AM,75,"The street repairs on Pine have been unfinished for weeks. When will it end?",Westwood,(555) 246-3474
04/19/2023 11:50 AM,110,"Vandalism at the old mill is getting worse. It's an eyesore.",Eastview,(555) 247-3485
04/19/2023 11:55 AM,65,"Loud music from the festival is disrupting businesses.",Downtown,(555) 248-3496
04/19/2023 12:00 PM,120,"Potholes on Rose Avenue are deep enough to cause accidents.",Westwood,(555) 249-3507
04/19/2023 12:05 PM,80,"Graffiti on the new public art piece is a shame.",Sunnyside,(555) 250-3518
04/19/2023 12:10 PM,50,"The noise from the car alarms at the dealership is non-stop.",Downtown,(555) 251-3529
04/19/2023 12:15 PM,95,"There's a pothole on Broadway that's been there for months.",Westwood,(555) 252-3530
